Title,Description,Price,Capacity,Grape,Secondary Grape Varieties,Closure,Country,Unit,Characteristics,Per bottle / case / each,Type,ABV,Region,Style,Vintage,Appellation
"Eddystone Point Chardonnay 2019/20, Tasmania","Tasmania is fast becoming one of the most exciting Australian Chardonnay regions. And for good reason. This is made there by Penny Jones, who worked for ten vintages at the famous Petaluma winery. Juicy. Fresh. Textured. Discover notes of stone fruit, pear juice and lemon curd, with a delicious minerality. Pair with ravioli dressed in butter.",£17.99 per bottle,75CL,Chardonnay,,Screwcap,Australia,10.1,"Hazelnut, Lemon, Nectarine, Peach, Vanilla",per bottle,White,ABV 13.50%,Tasmania,Rich & Toasty,2020,
"Edouard Delaunay 'Septembre' Chardonnay 2019/20, Burgundy","Maison Edouard Delaunay has a rich history dating back to 1893. Its wines were the choice of The Orient Express and the finest restaurants in France. A century later, it fell out of family hands. That was until Edouard’s great-grandson, Laurent, bought it back. He re-established his deep-rooted family connections with the best local grape-growers, and has more than succeeded in restoring the name of Edouard Delaunay to its former glory. This great-value, barrel-aged Chardonnay is an fantastic example of his efforts. This is opulent and buttery white Burgundy. Discover expressive notes of citrus, white chocolate and hazelnut. Enjoy it with an equally indulgent lobster dish.

This wine scored 92 points from Decanter for the 2020 vintage.",£15.99 per bottle,75CL,Chardonnay,,Natural Cork,France,9.8,"Wet Stones, Caramel, Lemon, Peach, Vanilla",per bottle,White,ABV 13.00%,Burgundy,Ripe & Rounded,2020,
"El Aviador Tempranillo 2021/22, Spain","Tempranillo is the Spanish grape variety par excellence and it is grown widely throughout the region of Castilla y Leon, having different local names like Tinta de Toro and Tinta del País. Aromas of red and black berries,with a hint of liquorice. Concentrated flavours of black fruits with a perfect balance between fruit and tannins. Round, soft and persistent. Lamb Tagine, Mediterranean mixed platter or mild cheeses.",£8.99 per bottle,75CL,Tempranillo,,Natural Cork,Spain,10.1,"Vanilla, Raspberry, Red Cherry",per bottle,Red,ABV 13.50%,Castilla Y León,Smooth & Mellow,2022,
"Emiliana 'Elemental' Organic Gran Reserva Cabernet 2019/21, Maipo Valley","Emiliana were voted Winery of the Year 2016 by Wines of Chile. They're leading the way with delicious organic wines at great value. This Maipo Valley Cabernet is a case in point. It's velvet-smooth and intensely flavoured, with flavours of blackcurrant, strawberry and chocolate.",£12.99 per bottle,75CL,Cabernet Sauvignon,,Natural Cork,Chile,10.1,"Green Bell Pepper, Black Cherry, Black Plum, Blackcurrant, Cedar",per bottle,Red,ABV 13.50%,Central Valley,Bold & Spicy,2021,Maipo Valley
"Ernesto Catena Vineyards ‘Ánimal’ Organic Malbec 2021/22, Mendoza","Ernesto Catena is the son of Nicolás Catena Zapata, the man that put Argentina on the fine-wine map. He's quickly paving his own unconventional way. He makes delicious organic Malbec in the foothills of the Andes, ferments it in concrete eggs and keeps each step of the process in line with the lunar cycle. You can taste the attention to detail in indulgent notes of plum, blackberry, chocolate and vanilla. Its full fruity flavour and tannins make it ideal for your next steak dinner.",£14.99 per bottle,75CL,Malbec,,Synthetic Cork,Argentina,10.1,"Black Fruit, Red Fruit, Ripe Fruit, Violet",per bottle,Red,ABV 13.50%,Mendoza,Rich & Juicy,2022,
"Errazuriz Estate Series Pinot Noir 2021/22, Aconcagua Valley","Don Maximiano Errázuriz founded Viña Errázuriz in 1870 in the Valle de Aconcagua, 100km north of the capital city, Santiago. He realised that the cool, rainy winters and hot, dry summers combined with Pacific breezes to make it an ideal area to grow grapes. He was the first to plant French varieties there – and it's safe to say his gamble paid off. Today, Errazuriz is regarded as a world-class winery with an array of awards in their trophy cabinet. This smooth and juicy Pinot Noir has aromatic floral notes and fresh flavours of cherry, strawberry with hints of toasty oak. Its silky mouthfeel makes it an excellent partner for roast pork or fillet of salmon. In 2022, this wine won an IWC award for the 2021 vintage.",£9.99 per bottle,75CL,Pinot Noir,,Screwcap,Chile,10.1,"Strawberry, Cranberry, Red Cherry",per bottle,Red,ABV 13.50%,Aconcagua,Light & Elegant,2022,Casablanca Valley
"Errazuriz Wild Ferment Chardonnay 2020/21, Casablanca Valley","With grapes taken from 'La Escultura Estate,' where cool sea breezes help preserve the freshness in the grapes. Naturally occurring yeast in the grape skins are used instead of cultivated yeasts, along with subtle use of 10% French oak. This wine is unbelievably well balanced, with subtle tropical stone fruit in the form of apricot and peach mingling with subtle oak characters and a rich creaminess. Enjoy this wine over the next two years to allow further integration of oak and fruit, and enjoy with roast chicken and seafood dishes.",£13.99 per bottle,75CL,Chardonnay,,Screwcap,Chile,9.8,"Vanilla, Lemon, Peach, Tropical Fruit",per bottle,White,ABV 13.00%,Aconcagua,Rich & Toasty,2021,Casablanca Valley
"Escarpment 'Kupe' Pinot Noir 2021, Martinborough","Escarpment was born from winemaker Larry McKenna's passion for the Martinborough wine region. After years of extensive research, he set up his own winery. He believes that the area is ideal for growing Pinot Noir. In his rendition of this delicate grape, expect fresh flavours and soft tannins. Wonderful with roast chicken.",£46.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.5,"Spice, Black Cherry, Black Plum, Earth",per bottle,Red,ABV 14.00%,Martinborough,Light & Elegant,2021,
"Escarpment Pinot Noir 2017, Martinborough","Larry McKenna has been celebrated in the New Zealand Wine Hall of Fame and is a Fellow of the New Zealand Wine Growers. He's a specialist in Pinot Noir and is even known affectionately as Larry McPinot by fans of his fantastic reds. Taste what all the fuss is about in this perfumed, delicate wine, with elegantly textured tannins and supple red and black fruits. It will cellar for up to 10 years but also drink well now with crispy pork belly.",£27.99 per bottle,75CL,Pinot Noir,,Screwcap,New Zealand,10.5,"Sweet Spice, Black Cherry, Blackberry, Red Fruit",per bottle,Red,ABV 14.00%,Martinborough,Light & Elegant,2017,
"Forrest Wines 'The Doctors'' Sauvignon Blanc 2022, Marlborough","In 1988, John and Brigid Forrest left behind careers in molecular biology and medicine and founded Forrest Wines. They brought their innovative approach to The Doctors' range, which is a series of lower-alcohol wines that don't compromise on flavour. This 9.5% ABV Sauvignon Blanc is sustainably grown and brings plenty of that classic Marlborough charm. Expect notes of gooseberry, passionfruit and citrus. It's bold and tropical, with a refreshing acidity that's great with goat's cheese.",£11.99 per bottle,75CL,Sauvignon Blanc,,Screwcap,New Zealand,7.1,"Tropical Fruit, Grass, Green Apple, Lemon",per bottle,White,ABV 9.50%,Marlborough,Crisp & Zesty,2022,
"Georges Vigouroux 'Le Grand Retour' Malbec 2018/20, Cahors","Did you know that Malbec began in Europe? It's often celebrated as an Argentinian grape variety. But it all began in the south-west of France. To be precise, Cahors. Cahors won Wine Enthusiast's Wine Region of the Year in 2017. And that was around the time when Georges Vigouroux decided to honour the return of Malbec in its birthplace – creating Le Grand Retour. This is exceptionally fruity and rich, with flavours of raspberry, blackcurrant and blackberry, and ripe tannins. Try it with roast pork.",£11.99 per bottle,75CL,Malbec,,Natural Cork,France,10.1,"Liquorice, Black Plum, Blackberry, Blueberry",per bottle,Red,ABV 13.50%,Languedoc-Roussillon,Smooth & Mellow,2020,Cahors
"Gérard Bertrand Clos d'Ora Organic 2017, Minervois La Livinière","Gérard Bertrand is a former professional rugby union player who played for the French national team. After he retired, he became one of the most recognisable names in Languedoc winemaking. This is his flagship wine that's made in one of the region's very best spots with organic and biodynamic practices. You'll find it on the wine lists of some of the world's most exclusive restaurants. For good reason. It's robust and powerful yet remarkably elegant, with flavours of red cherries, dark chocolate and tobacco. Decant for an hour before serving now or age for up to 20 years. Decanter's Georgina Hindle gave this 2017 vintage 94 points.",£188.99 per bottle,75CL,Syrah,"Carignan, Grenache, Mourvèdre",Natural Cork,France,11.6,"Black Fruit, Dried Herbs, Earth, Liquorice, Spice",per bottle,Red,ABV 15.50%,Languedoc-Roussillon,Bold & Spicy,2017,Minervois
"Gérard Bertrand 'Clos du Temple' Organic Rosé 2019, Languedoc","Gérard Bertrand was a professional rugby player who, later in life, took over the family winemaking estate. He now manages several sites around the South of France, and Clos du Temple is producing some of his finest rosé. The vines on this 8-hectare spot are farmed with biodynamic, organic methods to let the purity of the fruit shine through. The grapes are picked just as the sun rises over the estate to further preserve this fresh flavour. The result is a layered and long-lasting rosé with aromas of ripe apricot, white peach and pink pepper, and a signature minerality. Enjoy with baked salmon or cellar for another 10 to 15 years.",£188.99 per bottle,75CL,Cinsault,"Grenache, Mourvèdre, Syrah, Viognier",Natural Cork,France,10.9,"Raspberry, Strawberry, Watermelon",per bottle,Rosé,ABV 14.50%,Languedoc-Roussillon,Delicate & Dry,2019,
"Grant Burge 'Filsell' Shiraz 2017/19, Barossa","A deep, intense Shiraz from Grant Burge, this will show you the perfumes and powerful flavours that only come from the Filsell vineyard. It's the best of the Barossa, and will make the perfect partner to a premium cut of well aged beef.

In 2022, this wine won an IWC award for the 2018 vintage.",£29.99 per bottle,75CL,Shiraz,,Screwcap,Australia,10.9,"Liquorice, Black Pepper, Black Plum, Blackberry, Earth",per bottle,Red,ABV 14.50%,South Australia,Bold & Spicy,2019,Barossa Valley
"Guidalberto 2020/21 Tenuta San Guido, IGT Toscana","This wine is a blend of Cabernet Sauvignon and Merlot, and is the 'little brother' to the winery's celebrated Sassicaia, from three vineyard sites surrounding Bolgheri. The varieties are vinified separately before blending and maturation in French and American oak. The wine has an intense violet colour and a soft and rounded fruit profile, and can be enjoyed immediately or over the next 3-4 years.",£49.99 per bottle,75CL,Cabernet Sauvignon,Merlot,Natural Cork,Italy,10.5,"Vanilla, Black Plum, Blackberry, Earth, Leather, Smoke",per bottle,Red,ABV 14.00%,Tuscany,Savoury & Full Bodied,2020,Bolgheri
"Hambledon Classic Cuvee, Hampshire","Hambledon is the UK's oldest commercial vineyard, and its head winemaker, Hervé Jestin, was cellarmaster at the Duval Leroy Champagne house for over 20 years. The Classic Cuvée, a blend of Chardonnay, Pinot Noir & Pinot Meunier, once famously beat Pol Roger, Veuve Clicquot and Taittinger in a blind tasting. It has notes of fresh bread, greengage, red plums and dessert apples and a precise acidity.",£38.99 per bottle,75CL,Chardonnay,"Pinot Noir, Pinot Meunier",Natural Cork,England,9,"Red Plum, Bread, Green Apple, Lemon",per bottle,White,ABV 12.00%,Surrey,Crisp & Fruity,NV,
Harvey's Bristol Cream,"Pale Cream and Cream sherries are usually made from sweetened Oloroso's, but Harveys Bristol Cream is a blend of Fino, Amontillado, Oloroso and Pedro Ximénez wines and is of superiour quality.   Amber-gold in colour, medium-sweet, displaying smokey oranges, vanilla, toffee, caramel, nuts and raisins. Viscous and full, but with a superb balance and long finish. Good as an aperitif, as an after dinner drink, or with cheesecake. Drink chilled or over ice.

In 2022, this wine won an IWC award.",£13.99 per bottle,75CL,,,Screwcap,Spain,13.1,"Cream, Date, Hazelnut, Vanilla, Walnut",per bottle,,ABV 17.50%,,,NV,
Hospices de Beaujeu Bourgogne Gamay 2020/21,In existence since 1240 the Hospice de Beaujeu have received numerous donation of land over the years and now own 80.5 hectares of vineyards. This Gamay has a classic Burgundian character with lots of fruit flavours and woody notes.,£14.99 per bottle,75CL,Gamay,,Natural Cork,France,9.8,"Violet, Raspberry, Red Cherry, Vanilla",per bottle,Red,ABV 13.00%,Burgundy,Light & Elegant,2021,
"Indomita 'Gran Reserva' Pinot Noir 2021/22, Casblanca Valley","Chile's Casbalanca Valley has the perfect climate for ripening the infamously tricky Pinot Noir grape. A long, warm ripening season fills the fruit with delicious juice. You can taste the benefits in this luscious wine's flavours of strawberry, coffee and vanilla. Pair a glass of this with thinly-sliced Jamón ibérico.",£11.99 per bottle,75CL,Pinot Noir,,Natural Cork,Chile,10.5,"Strawberry, Earth, Red Cherry",per bottle,Red,ABV 14.00%,Aconcagua,Light & Elegant,2022,Casablanca Valley
